name,description,image_url,chill_score,touristic_score,cultural_score,must_do_score,family_friendly_score,large_group_friendly_score,couple_friendly_score,small_group_friendly_score,budget,average_duration_hours,latitude,longitude,popularity_score,adventurous_score,off_the_beaten_path_score,fun_score,curious_score,sportive_score,originality_score
Visiter les Catacombes de Paris,Explore les tunnels souterrains remplis d'ossements et découvre l'histoire mystérieuse de Paris sous terre.,,2,3,5,5,2,3,3,4,2,1.5,48.8339,2.3325,5,4,3,3,5,1,5
Se perdre dans la Petite Ceinture,"Parcours une ancienne voie ferrée abandonnée qui traverse Paris, aujourd'hui envahie par la végétation et un espace de promenade insolite.",,4,2,4,3,4,5,3,5,1,2,48.8592,2.3657,3,4,5,4,4,3,5
Détente au Jardin des Serres d'Auteuil,Découvrez ce jardin botanique méconnu avec ses superbes serres tropicales et ses plantes rares.,,5,2,5,4,4,4,4,5,3,2,48.8435,2.2535,4,2,4,3,4,1,4
Participer à une soirée de catch à la Lucha Libre,"Vivez une soirée de catch mexicain déjanté dans un bar parisien, un spectacle unique dans une ambiance festive et décalée.",,2,3,2,4,3,5,4,5,4,2.5,48.8727,2.3442,4,5,4,5,3,3,5
Chasse au trésor au Père-Lachaise,"Participez à une chasse au trésor interactive dans le célèbre cimetière parisien, entre tombes historiques et énigmes mystérieuses.",,3,4,5,5,3,4,4,5,2,3,48.8614,2.3933,5,4,5,5,4,2,5
Explorer les égouts de Paris,"Descendez sous terre et découvrez les dessous de la ville en visitant les égouts de Paris, un réseau fascinant plein d'histoire.",,2,3,5,4,3,4,3,4,3,1.5,48.8566,2.3522,4,5,3,4,4,2,5
Randonner à Buttes-Chaumont,"Profitez d'un moment de détente et d'aventure dans ce parc méconnu, avec ses grottes artificielles et ses ponts suspendus.",,5,2,4,4,5,4,5,4,5,2,48.8809,2.3824,5,3,4,4,3,2,4
Pique-niquer au Parc de Belleville,"Un parc en hauteur offrant l'une des meilleures vues sur Paris, idéal pour une escapade relaxante avec une ambiance de quartier authentique.",,4,2,4,3,5,5,4,4,5,2,48.8725,2.3795,3,2,4,3,4,1,3
Visite guidée street art à Belleville,Découvrez les œuvres de street art cachées dans les ruelles du quartier de Belleville lors d'une visite guidée insolite.,,2,3,4,4,3,5,4,4,5,1.5,48.8729,2.3842,4,3,4,5,4,1,5
Faire du kayak sur le canal Saint-Martin,Pagayez le long du canal Saint-Martin en kayak et découvrez Paris sous un angle inédit et aventureux.,,3,4,2,4,4,5,4,5,5,2,48.8724,2.3662,4,5,5,5,4,4,5
Dormir dans une péniche,"Passez une nuit insolite à bord d'une péniche sur la Seine, pour une expérience authentiquement parisienne.",,5,3,3,4,4,3,5,4,5,12,48.8566,2.3522,4,2,4,5,3,1,5
